state,city,zipcode,address,zpid,bathrooms,bedrooms,sqft,homtype,zestimate,rentzestimate,real rent
NC,Durham,27707,1601 Anderson St,49968662,2.5,3,1416,SingleFamily,218787,1550,"1,550"
NC,Durham,27707,3212 Hope Valley Rd,49983414,2.0,3,1784,SingleFamily,228091,1500,"1,500"
NC,Durham,27705,6 York Ct,49985924,2.0,3,1400,SingleFamily,165548,1300,"1,300"
NC,Durham,27713,4801 Tapestry Ter,80205677,2.5,4,1800,SingleFamily,235129,1575,"1,500"
NC,Durham,27707,2819 Stuart Dr,49982175,2.0,3,1780,SingleFamily,278651,1575,"1,500"
NC,Durham,27707,800 Fargo St APT A3,49980319,1.5,3,1260,Townhouse,69166,1050,"1,000"
NC,Durham,27713,111 Basset Hall Dr,61726545,2.5,3,1632,SingleFamily,176277,1350,"1,325"
NC,Durham,27704,2615 Acadia St,49971043,1.0,2,740,SingleFamily,127577,1250,"1,265"
NC,Durham,27703,309 Vintage Holly Dr,122690541,3.0,5,2900,SingleFamily,276246,1595,"1,895"
NC,Durham,27703,650 Ganyard Farm Way UNIT 4,2130037389,3.5,3,1629,Townhouse,180326,1250,"1,250"
NC,Durham,27704,313 Gresham Ave,49972626,1.0,2,749,SingleFamily,128088,1275,"1,350"
NC,Durham,27712,3211 Deerchase Wynd,50017816,2.5,4,2010,SingleFamily,246373,1650,"1,650"
NC,Durham,27703,8 Redear Pl,50011927,2.5,3,1500,SingleFamily,168310,1300,"1,320"
NC,Durham,27707,401 Moline St,49978896,2.0,4,1296,SingleFamily,93727,1100,"1,400"
NC,Durham,27713,8794 Nc Highway 751,121758370,2.0,3,1880,SingleFamily,562356,2969,"2,295"
NC,Durham,27713,2222 Gablefield Ln,59712054,3.0,4,2000,SingleFamily,236539,1800,"1,800"
NC,Durham,27713,1444 Sedwick Rd,50018802,2.5,4,1700,SingleFamily,192475,1395,"1,450"
NC,Durham,27704,2825 Tulip Poplar Cir,98207465,2.5,3,1520,SingleFamily,160851,1370,"1,395"
NC,Durham,27704,701 Woodgreen Dr,70921257,2.5,3,1388,SingleFamily,159881,1350,"1,350"
NC,Morrisville,27560,303 Oldcastle Dr,124722790,2.5,3,2414,Townhouse,274267,1600,"1,850"
NC,Durham,27704,915 Horton Rd,49986070,2.5,3,1525,SingleFamily,151275,1200,"1,200"
