state,city,zipcode,address,zpid,bathrooms,bedrooms,sqft,homtype,zestimate,rentzestimate,real rent
NC,Durham,27705,2718 Omah St,49984703,2.0,3,1581,SingleFamily,179789,1325,"1,325"
NC,Durham,27703,1808 Pennypacker Ln,87749038,3.0,3,2751,SingleFamily,304136,1899,"1,985"
NC,Durham,27704,1304 Cozart St UNIT 206,2109874688,2.5,3,1553,Townhouse,126204,1250,"1,250"
NC,Durham,27705,4221 Ellisfield Dr,50016539,2.5,3,1855,SingleFamily,260517,1600,"1,725"
NC,Durham,27707,4132 Hope Valley Rd,49991782,1.0,3,1385,SingleFamily,170536,1300,"1,300"
NC,Durham,27703,813 Poplar St,98198893,3.0,5,2678,SingleFamily,259014,1650,"2,295"
NC,Durham,27703,817 Pleasant Dr,80208003,2.0,3,1326,SingleFamily,,1125,"1,150"
NC,Durham,27703,138 Rosedale Creek Dr,122690568,3.0,3,2000,SingleFamily,331691,1862,"1,850"
NC,Durham,27703,1411 Palmer Hill Dr,124845983,3.0,3,2000,SingleFamily,250711,1600,"1,850"
NC,Durham,27703,114 Glenview Ln,109949269,2.5,4,2563,SingleFamily,254842,1650,"1,700"
NC,Durham,27713,3403 Tarleton W,70921420,2.5,3,1380,SingleFamily,129897,1200,"1,200"
NC,Durham,27713,3619 C View Rd,50005860,1.0,3,1488,SingleFamily,158199,1095,835
NC,Durham,27712,3 Moss Creek Ct,50027571,3.0,4,4525,SingleFamily,500013,2895,"3,000"
NC,Durham,27707,827 Elmira Ave,49990259,1.0,3,840,SingleFamily,82830,995,995
NC,Durham,27713,8 Rockwall Garden Way,70923143,2.0,3,1898,SingleFamily,270091,1650,"1,725"
NC,Durham,27713,5 Gingerwood Ln,59712736,2.5,4,2180,SingleFamily,266211,1600,"1,675"
NC,Durham,27713,203 Swift Creek Xing,2113510886,3.0,4,3559,SingleFamily,608561,3437,"2,600"
NC,Durham,27707,112 Grapevine Trl,61725664,2.0,2,1400,SingleFamily,183931,1395,"1,400"
NC,Durham,27704,1907 Spring Creek Dr,61727209,2.5,3,1640,SingleFamily,166112,1300,"1,300"
NC,Durham,27703,4313 Armitage Dr,59713495,2.0,3,1650,SingleFamily,162683,1350,"1,350"
NC,Durham,27705,211 Mt Evans Dr,109955844,2.0,2,1340,SingleFamily,198726,1400,"1,400"
NC,Durham,27704,108 Parsons Green Ct,98185005,2.5,3,2100,SingleFamily,188742,2750,"2,750"
NC,Durham,27713,5004 Gable Ridge Dr,49999433,2.0,3,1100,SingleFamily,170414,1350,"1,375"
