state,city,zipcode,address,zpid,bathrooms,bedrooms,sqft,homtype,zestimate,rentzestimate,real rent
NC,Durham,27713,8022 Morrell Ln,70923894,3.0,4,2750,SingleFamily,311853,1895,"1,995"
NC,Durham,27704,2513 State St,49980939,1.0,2,969,SingleFamily,93394,949,"1,150"
NC,Durham,27705,2029 Walnut St,49984634,1.0,3,975,SingleFamily,133142,1050,"1,350"
NC,Durham,27705,1114 9th St,49966875,1.0,2,880,SingleFamily,195496,1250,950
NC,Durham,27707,3118 Hope Valley Rd,49983242,2.0,3,1560,SingleFamily,209154,1300,"1,590"
NC,Durham,27713,3342 Tarleton W,50005317,2.0,2,1059,SingleFamily,328076,1490,900
NC,Durham,27713,6 Kerr Ct,50001274,2.5,3,1458,SingleFamily,226457,1500,"1,499"
NC,Durham,27704,21 Malbry Pl,50007492,2.0,3,1289,SingleFamily,117012,1100,"1,100"
NC,Durham,27703,813 Ember Dr,98177135,2.5,3,1930,SingleFamily,213938,1495,"1,795"
NC,Durham,27701,1021 Green St,49968237,2.0,3,1600,SingleFamily,202346,1425,"1,950"
NC,Durham,27712,5111 Sourwood Rd,50022078,2.0,4,2173,SingleFamily,190402,1350,"1,350"
NC,Durham,27713,4135 Brenmar Ln,61725752,2.5,3,1450,Townhouse,185779,1400,"1,400"
NC,Durham,27703,4 Beaver Creek Ln,70922086,2.0,3,2169,SingleFamily,233614,1600,"1,600"
NC,Durham,27705,929 Morreene Rd,61725461,3.0,3,24696,Condominium,535469,3009,"1,575"
NC,Durham,27703,119 Glenview Ln,109923454,2.5,4,2500,SingleFamily,256189,1700,"1,850"
NC,Durham,27703,1905 Pear Tree Ln,80207358,3.0,3,2024,SingleFamily,222928,1595,"1,600"
NC,Durham,27703,314 Rondelay Dr,87754006,2.5,3,2198,SingleFamily,235571,1600,"1,875"
NC,Durham,27712,1310 Worland Dr,50023279,2.0,3,1524,SingleFamily,178647,1350,"1,350"
NC,Durham,27701,913 Dupree St,49979015,1.0,3,1463,SingleFamily,103101,1150,"1,150"
NC,Durham,27713,4 Scenic Ct,61726263,2.5,4,2479,SingleFamily,318116,1995,"2,050"
NC,Durham,27713,11 Rockwall Garden Way,70921635,2.5,4,2697,SingleFamily,303672,1900,"1,925"
